#ID=Generated by ISIscan!
#SAMPLE_NUMBERS_PRESENT=Y
#NX_VARIABLES=1050
#NY_VARIABLES=4
#FIRST_WAVELENGTH=400.000000
#LAST_WAVELENGTH=1098.000000
#WAVELENGTH_INCREMENT=2.000000
#FIRST_WAVELENGTH=1100.000000
#LAST_WAVELENGTH=2498.000000
#WAVELENGTH_INCREMENT=2.000000
#YNAMEn1=BC
#YNAMEn2=CP
#YNAMEn3=DMD
#YNAMEn4=WSC
Sample1  0.3823448 0.4024848 0.4219185 0.4408453 0.4592559 0.4767690 0.4927882 0.5068558 
0.5195493 0.5316653 0.5429785 0.5530558 0.5625075 0.5718349 0.5804428 0.5878814 
0.5942904 0.5998763 0.6048665 0.6092504 0.6129682 0.6158258 0.6178795 0.6192705 
0.6199652 0.6205075 0.6210172 0.6210885 0.6205121 0.6194701 0.6181698 0.6163721 
0.6138434 0.6108624 0.6077451 0.6044648 0.6008834 0.5971909 0.5936767 0.5901325 
0.5863466 0.5826062 0.5792546 0.5760202 0.5726182 0.5692022 0.5657574 0.5624269 
0.5596840 0.5576161 0.5555591 0.5532913 0.5509285 0.5485179 0.5462999 0.5445608 
0.5430014 0.5413040 0.5395886 0.5379984 0.5368286 0.5369291 0.5383302 0.5402858 
0.5427620 0.5456385 0.5489509 0.5527843 0.5569014 0.5607358 0.5642187 0.5674761 
0.5701927 0.5722811 0.5739211 0.5750605 0.5756429 0.5760036 0.5762187 0.5762664 
0.5762903 0.5764048 0.5764295 0.5764716 0.5767027 0.5769929 0.5773503 0.5778523 
0.5786017 0.5796565 0.5810891 0.5830445 0.5853581 0.5881739 0.5917349 0.5959616 
0.6007140 0.6059896 0.6119304 0.6182460 0.6245495 0.6306932 0.6366165 0.6421692 
0.6471523 0.6512974 0.6543102 0.6562785 0.6571051 0.6570137 0.6563585 0.6556793 
0.6553934 0.6561138 0.6579463 0.6610387 0.6652045 0.6702318 0.6761866 0.6826272 
0.6895396 0.6968639 0.7046580 0.7128991 0.7214391 0.7303311 0.7394209 0.7486920 
0.7581510 0.7675852 0.7766142 0.7848821 0.7919837 0.7977210 0.8019040 0.8040155 
0.8040131 0.8010025 0.7951794 0.7866302 0.7755439 0.7628866 0.7483050 0.7332776 
0.7176670 0.7019506 0.6861461 0.6695237 0.6523528 0.6338962 0.6144674 0.5940607 
0.5728135 0.5511667 0.5293220 0.5079068 0.4872418 0.4677163 0.4495270 0.4327533 
0.4173642 0.4032726 0.3903381 0.3784248 0.3673773 0.3570763 0.3474720 0.3384727 
0.3300680 0.3222514 0.3150072 0.3083568 0.3022442 0.2966536 0.2914985 0.2867491 
0.2823184 0.2781362 0.2741350 0.2702661 0.2664630 0.2627197 0.2590251 0.2553824 
0.2517921 0.2482732 0.2448448 0.2415339 0.2383407 0.2352770 0.2323349 0.2294967 
0.2267672 0.2241269 0.2215635 0.2190635 0.2166353 0.2142912 0.2120362 0.2098784 
0.2077995 0.2057982 0.2038519 0.2019506 0.2000971 0.1982755 0.1964715 0.1946909 
0.1929324 0.1911977 0.1894892 0.1878020 0.1861285 0.1844707 0.1828440 0.1812295 
0.1796282 0.1780575 0.1765117 0.1749800 0.1734662 0.1719806 0.1705217 0.1690833 
0.1676630 0.1662604 0.1648800 0.1635202 0.1621780 0.1608559 0.1595511 0.1582611 
0.1569917 0.1557562 0.1545270 0.1533128 0.1521151 0.1509333 0.1497602 0.1485934 
0.1474481 0.1463274 0.1452269 0.1441373 0.1430548 0.1419793 0.1409146 0.1398665 
0.1388285 0.1377948 0.1367638 0.1357419 0.1347283 0.1337250 0.1327265 0.1317368 
0.1307465 0.1297561 0.1287675 0.1277845 0.1268127 0.1258415 0.1248808 0.1239303 
0.1229878 0.1220597 0.1211442 0.1202186 0.1192819 0.1183608 0.1174703 0.1166035 
0.1157532 0.1149236 0.1141131 0.1133193 0.1125474 0.1118026 0.1110810 0.1103809 
0.1097007 0.1090489 0.1084228 0.1078242 0.1072448 0.1066889 0.1061504 0.1056259 
0.1051181 0.1046221 0.1041305 0.1036348 0.1031301 0.1026182 0.1021045 0.1015904 
0.1010737 0.1005576 0.1000370 0.0995145 0.0989955 0.0984738 0.0979599 0.0974793 
0.0970063 0.0965102 0.0960089 0.0955138 0.0950190 0.0945223 0.0940327 0.0935561 
0.0930879 0.0926312 0.0921857 0.0917429 0.0913074 0.0908831 0.0904750 0.0900735 
0.0896778 0.0892921 0.0889182 0.0885655 0.0882173 0.0878762 0.0875525 0.0872447 
0.0869340 0.0866310 0.0863463 0.0860670 0.0857894 0.0855276 0.0852843 0.0850466 
0.0848231 0.0846123 0.0844120 0.0842205 0.0840488 0.0838913 0.0837353 0.0835875 
0.0834562 0.0833427 0.0832416 0.0831455 0.0830684 0.0830505 0.0796275 0.0796224 
